Country,Clicks,Impressions,CTR,Position
Australia,97,2000,4.85%,32.52
Philippines,10,57,17.54%,7.33
India,4,88,4.55%,24.05
Pakistan,4,39,10.26%,8.85
United States,3,869,0.35%,11.76
Indonesia,2,14,14.29%,9.43
Hong Kong,2,13,15.38%,3.54
Ukraine,2,8,25%,5.38
New Zealand,1,119,0.84%,76.76
Canada,1,103,0.97%,13.95
Germany,1,23,4.35%,12.48
Bangladesh,1,10,10%,14.8
Ireland,1,8,12.5%,7
Sweden,1,5,20%,3.4
Cambodia,1,3,33.33%,3.67
Bulgaria,1,1,100%,1
Poland,0,77,0%,57.66
United Kingdom,0,61,0%,30.16
Brazil,0,46,0%,16.83
Vietnam,0,24,0%,27.29
Spain,0,21,0%,10.95
France,0,19,0%,7.42
Malaysia,0,14,0%,14.5
Singapore,0,14,0%,21.57
Mexico,0,13,0%,9.31
Israel,0,13,0%,29.69
Italy,0,12,0%,10.75
China,0,10,0%,9.1
Morocco,0,10,0%,13.6
Thailand,0,10,0%,28.5
Benin,0,9,0%,5.89
Ecuador,0,9,0%,7.78
Switzerland,0,8,0%,5.62
Nigeria,0,8,0%,7.75
Bosnia & Herzegovina,0,8,0%,8
United Arab Emirates,0,8,0%,26.12
South Africa,0,7,0%,5
Japan,0,7,0%,5.43
Portugal,0,7,0%,11
Netherlands,0,7,0%,16.86
Chile,0,6,0%,7
Colombia,0,6,0%,9.5
Denmark,0,6,0%,23.33
Russia,0,5,0%,12
Egypt,0,5,0%,20
Argentina,0,4,0%,6
Belgium,0,4,0%,7.5
Saudi Arabia,0,4,0%,14.25
Oman,0,4,0%,19
Algeria,0,4,0%,26.75
Kenya,0,3,0%,5
Taiwan,0,3,0%,5.67
Estonia,0,3,0%,6.33
South Korea,0,3,0%,6.33
Iran,0,3,0%,7
Czechia,0,3,0%,8
Serbia,0,3,0%,8.67
Senegal,0,3,0%,14.33
Austria,0,3,0%,18.33
Ethiopia,0,2,0%,6
Slovakia,0,2,0%,6.5
Guatemala,0,2,0%,7
Uruguay,0,2,0%,7.5
Turkey,0,2,0%,8.5
Kyrgyzstan,0,2,0%,10
Lithuania,0,2,0%,10
Romania,0,2,0%,10
Venezuela,0,2,0%,13.5
Ghana,0,2,0%,27.5
Cyprus,0,1,0%,1
Gabon,0,1,0%,1
Uganda,0,1,0%,1
Croatia,0,1,0%,2
Panama,0,1,0%,4
Brunei,0,1,0%,5
Congo - Kinshasa,0,1,0%,5
Paraguay,0,1,0%,5
Andorra,0,1,0%,6
Costa Rica,0,1,0%,6
Libya,0,1,0%,6
Kazakhstan,0,1,0%,7
Uzbekistan,0,1,0%,7
Greece,0,1,0%,8
Jamaica,0,1,0%,8
Luxembourg,0,1,0%,8
Puerto Rico,0,1,0%,8
Jersey,0,1,0%,9
Mongolia,0,1,0%,9
Nepal,0,1,0%,9
Tunisia,0,1,0%,9
Hungary,0,1,0%,10
Unknown Region,0,1,0%,10
Latvia,0,1,0%,11
Mauritius,0,1,0%,11
Finland,0,1,0%,20
Peru,0,1,0%,20
Honduras,0,1,0%,31
Bahamas,0,1,0%,36