Reason,Source,Validation,Pages
Soft 404,Website,Not Started,24
Page with redirect,Website,Not Started,13
Excluded by ‘noindex’ tag,Website,Not Started,9
Not found (404),Website,Not Started,7
Blocked due to access forbidden (403),Website,Not Started,2
Redirect error,Website,Not Started,1
Duplicate without user-selected canonical,Website,Not Started,1
Blocked by robots.txt,Website,Not Started,1
Alternative page with proper canonical tag,Website,Not Started,1
Crawled - currently not indexed,Google systems,Not Started,34
Discovered – currently not indexed,Google systems,Not Started,32